X,Y,HospitalName,Postcode,Telephone,Address
145.0335987,-37.8623273,Genesis Care Radiation Oncology Centre - Cabrini Malvern,3144,03 9508 1222,"183 WATTLETREE ROAD,MALVERN"
144.9745636,-37.8076974,Genesis Care Radiation Oncology Centre St Vincent's Hospital Melbourne,3065,03 9427 6500,"41 VICTORIA PARADE,FITZROY"
145.8285,-38.4304,Gippsland Southern Health Service,3950,03 5654 2777,"65-77 BRIDGE STREET,KORUMBURRA"
145.9501,-38.4873,Gippsland Southern Health Service,3953,03 5667 5555,"66 KOONWARRA ROAD,LEONGATHA"
145.0192142,-37.9004347,Glen Eira Day Surgery,3162,03 9595 6666,"544 HAWTHORN ROAD,CAULFIELD SOUTH"
145.0940256,-37.8580893,Glen Iris Private,3146,03 9808 7111,"314 WARRIGAL ROAD,GLEN IRIS"
145.0309157,-37.819345,Glenferrie Private Hospital,3122,03 9009 3800,"29 HILDA CRESCENT,HAWTHORN"
145.1496,-38.1728,Golf Links Road Rehabilitation Centre,3199,03 9783 7288,"125 GOLF LINKS ROAD,FRANKSTON"
144.7496,-37.5798,Goonawarra Day Hospital,3429,03 9744 9999,"1/5 DORNOCH DRIVE,SUNBURY"
142.0301,-37.7373,Hamilton Base Hospital,3300,03 5551 8222,"20 FOSTER STREET,HAMILTON"
145.5288,-37.6469,Healesville and District Hospital,3777,03 5962 4300,"377 MAROONDAH HIGHWAY,HEALESVILLE"
144.7097,-36.9261,Heathcote Health,3523,03 5431 0900,"39-55 HOSPITAL STREET,HEATHCOTE"
145.0601726,-37.7304919,Heidelberg Endoscopy and Day Surgery Centre,3081,03 9458 2200,"177-179 NORTHERN ROAD,HEIDELBERG HEIGHTS"
145.0474,-37.7561,Heidelberg Repatriation Hospital,3081,03 9496 2444,"300 WATERDALE ROAD,HEIDELBERG HEIGHTS"
143.9842,-38.2431,Hesse Rural Health Service,3241,03 5267 1200,"8 GOSNEY STREET,WINCHELSEA"
146.7836685,-37.9768257,Heyfield Hospital Incorporated,3858,03 5139 7979,"14-16 LICOLA ROAD,HEYFIELD"
141.6246,-38.1379,Heywood Rural Health,3304,03 5527 0555,"21 BARCLAY STREET,HEYWOOD"
145.0500685,-37.9354051,Holmesglen Private Hospital,3189,03 9567 9000,"488-490 SOUTH ROAD,MOORABBIN"
145.0445003,-37.7165368,Hyperbaric Health Wound Centre Bundoora,3083,13 96 86,"CNR PLENTY ROAD & KINGBURY DRIVE,BUNDOORA"
144.9837,-37.8251,Imaging@Olympic Park,3004,03 9420 1700,"60 OLYMPIC BOULEVARD,MELBOURNE"
143.8734,-36.5723,Inglewood and Districts Health Service,3517,03 5431 7000,"3 HOSPITAL STREET,INGLEWOOD"
145.0449,-37.767,Ivanhoe Endoscopy Centre,3079,03 9497 1344,"226 UPPER HEIDELBERG ROAD,BANYULE"
145.1208373,-37.9208634,Jessie McPherson Private Hospital,3168,03 9594 2776,"246 CLAYTON ROAD,CLAYTON"
144.9583,-37.7546,John Fawkner Private Hospital,3058,03 9385 2500,"275 MORELAND ROAD,COBURG"
144.9786716,-37.8167654,Jolimont Endoscopy Centre,3002,03 9654 8033,"201 WELLINGTON PARADE,EAST MELBOURNE"
144.8338306,-37.7196653,Keilor Private,3036,03 8340 6400,"771 OLD CALDER HWY SERVICE ROAD,KEILOR "
143.9176,-35.7242,Kerang District Health,3579,03 5450 9200,"13-15 BURGOYNE STREET,KERANG"
145.0624,-37.7944,Kew Endoscopy,3102,03 9851 6044,"828 HIGH STREET,KEW EAST"
144.9581,-37.3018,Kilmore and District Hospital,3764,03 5734 2000,"1 ANDERSON ROAD,KILMORE"
145.0799,-37.9544,Kingston Centre,3192,03 9265 1000,"400 WARRIGAL ROAD,CHELTENHAM"
145.2276951,-37.8489036,Knox Private Hospital,3152,03 9210 7000,"262 MOUNTAIN HIGHWAY,WANTRINA"
145.4849499,-38.2015617,Kooweerup Regional Health Service,3981,03 5997 9679,"215 ROSSITER ROAD,KOO WEE RUP"
145.0422,-36.3153,Kyabram and District Health Services,3620,03 5857 0200,"86-96 FENAUGHTY STREET,KYABRAM"
144.4701,-37.2545,Kyneton District Health Service,3444,03 5422 9900,"7-25 CAROLINE CHISHOLM DRIVE,KYNETON"
145.0445003,-37.7165368,La Trobe Private Hospital,3083,03 9473 8900,"PLENTY ROAD, CNR KINGSBURY DRIVE,BUNDOORA"
146.4714,-38.2188,Latrobe Regional Hospital,3844,03 5173 8000,"10 VILLAGE AVENUE,TRARALGON"
145.00373,-37.9424312,Linacre Private Hospital,3188,03 8530 5400,"12-16 LINACRE ROAD,HAMPTON"
143.9808,-38.5455,Lorne Community Hospital,3232,03 5289 4300,"1 ALBERT STREET,LORNE"
144.064,-36.9927,Maldon Hospital,3463,03 5475 2000,"1 CHAPEL STREET,MALDON"
142.8577,-35.5005,Mallee Track Health & Community Service,3512,03 5095 2070,"28/32 GRAY STREET, MURRAYVILLE"
142.3131,-35.0745,Mallee Track Health and Community Service,3490,03 5092 1111,"28 BRITT STREET,OUYEN"
145.0305,-37.8515,Malvern Dialysis Clinic,3144,03 8823 7800,"1133 MALVERN ROAD,MALVERN"
145.0608,-37.8671,Malvern Private Hospital,3145,03 9885 9621,"3-9 WILTON VALE CRESCENT,MALVERN EAST"
145.1152,-37.7731,Manningham Day Procedure Centre,3107,03 8850 0590,"503/200 HIGH STREET,TEMPLESTOWE LOWER"
146.0865084,-37.0576048,Mansfield District Hospital,3722,03 5775 8800,"51-53 HIGHETT STREET,MANSFIELD"
145.0077,-37.8602,Marie Stopes International East St Kilda,3183,13 0000 3707,"338 DANDENONG ROAD,ST KILDA EAST"
145.2887737,-37.808988,Marie Stopes International Maroondah,3136,13 0000 3707,"411 DORSET ROAD,CROYDON"
145.2554,-37.807,Maroondah Hospital,3135,13 0034 2255,"1-15 DAVEY DRIVE,RINGWOOD EAST"
143.7352,-36.8554,Maryborough District Health Service,3472,03 5468 2900,"20 HAVELOCK STREET,DUNOLLY"
143.7383,-37.0451,Maryborough District Health Service,3465,03 5461 0333,"75 CLARENDON STREET,MARYBOROUGH"
146.4187,-38.2151,Maryvale Private Hospital,3840,03 5132 1200,"286 MARYVALE ROAD,MORWELL"
145.0031,-37.8698,Masada Private Hospital,3183,03 9038 1300,"24-48 BALACLAVA ROAD,ST KILDA EAST"
144.336,-38.1193,McKellar Centre,3215,03 4215 5200,"45-99 BALLARAT ROAD,NORTH GEELONG"
145.0304,-37.8878,Melbourne Day Surgery Centre,3162,03 9569 3030,"961 GLEN HUNTLY ROAD,CAULFIELD SOUTH"
144.9791,-37.8446,Melbourne Endoscopy,3004,03 9867 4828,"517 ST KILDA ROAD,MELBOURNE"
145.1202,-37.9214,Melbourne Endoscopy Monash Day Procedure Centre,3168,03 9562 7433,"277-279 CLAYTON ROAD,CLAYTON"
145.0188302,-37.8689413,Melbourne MediBrain and MediSleep Centre,3161,03 9504 8400,"631 INKERMAN ROAD,CAULFIELD NORTH"
144.9571,-37.799,Melbourne Private Hospital,3052,03 8341 3400,"1F ROYAL PARADE,PARKVILLE"
144.559,-37.6865,Melton Health,3337,03 9747 7600,"195-209 BARRIES ROAD,MELTON WEST"
145.0609,-37.7563,Mercy Hospital for Women,3084,03 8458 4444,"163 STUDLEY ROAD,HEIDELBERG"
144.6992,-37.8858,Mercy Public Hospitals Inc,3030,03 8754 3000,"300-310 PRINCES HIGHWAY,WERRIBEE"
142.1429,-34.1855,Mildura Base Hospital,3500,03 5022 3333,"ONTARIO AVENUE & THIRTEENTH STREET,MILDURA"
142.1453,-34.1848,Mildura Health Private Hospital,3500,03 5023 0269,"79 DEAKIN AVENUE,MILDURA"
145.1942034,-37.8113383,Mitcham Private Hospital,3132,03 9210 3222,"36 DONCASTER EAST ROAD,MITCHAM"
145.1942966,-37.8104805,Mitcham Private Hospital,3132,03 9210 3222,"25-27 DONCASTER EAST ROAD,MITCHAM"
145.1202884,-37.9209058,Monash House Private Hospital,3168,03 8394 0700,"271 CLAYTON ROAD,CLAYTON"
144.3632152,-38.151073,Monash IVF Geelong,3220,03 5222 8599,"73-79 LITTLE RYRIE STREET,GEELONG"
145.1224,-37.9205,Monash Medical Centre,3168,03 9594 6666,"246 CLAYTON ROAD,CLAYTON"
145.0635,-37.9209,Monash Medical Centre,3165,03 9928 8111,"823-865 CENTRE ROAD,BENTLEIGH EAST"
145.1206,-37.9218,Monash Surgical Private Hospital,3168,03 8545 8000,"252-256 CLAYTON ROAD,CLAYTON"
145.0439287,-38.227743,Mornington Endoscopy,3931,03 5973 4444,"350 MAIN STREET,MORNINGTON PENINSULA"
142.2271,-38.3815,Moyne Health Services,3284,03 5568 0100,"30/36 VILLIERS STREET,PORT FAIRY"
146.8761,-36.1386,Murray Valley Private Hospital,3690,02 6055 3100,"2/69 NORDSVAN DRIVE,WODONGA"
145.1501442,-36.7810041,Nagambie HealthCare,3608,03 5736 2900,"22 CHURCH STREET,NAGAMBIE"
145.1977,-36.0572,Nathalia District Hospital,3638,03 5866 9444,"36-44 MCDONELL STREET,NATHALIA"
145.9540862,-38.022075,Neerim District Health Service,3831,03 5628 1226,"29-39 MAIN NEERIM ROAD,NEERIM SOUTH"
145.1897,-37.9671,Noble Park Endoscopy Centre,3174,03 9706 9833,"1304 HEATHERTON ROAD,NOBLE PARK"
145.0312,-37.7634,North Eastern Rehabilitation Centre,3079,03 9474 8900,"134-146 FORD STREET,IVANHOE"
146.3143,-36.3543,Northeast Health Wangaratta,3677,03 5722 5111,"35-47 GREEN STREET,WANGARATTA"
145.0619,-37.6913,Northpark Private Hospital,3083,03 9468 0100,"135 PLENTY ROAD,CNR GREENHILLS ROAD,BUNDOORA"
144.9093796,-37.7711543,Northwest Day Hospital,3032,03 9370 4366,"221 MARIBYRNONG ROAD,ASCOT VALE"
145.4438,-36.1,Numurkah District Health Service,3636,03 5862 0555,"2 KATAMATITE-NATHALIA ROAD,NUMURKAH"
145.0618,-37.8163,O'Connell Family Centre,3126,03 8416 7600,"6 MONT ALBERT ROAD,CANTERBURY"
147.5972,-37.0981,Omeo District Health,3898,03 5159 0100,"10 EASTON STREET,OMEO"
148.4656,-37.7017,Orbost Regional Health,3888,03 5154 6666,"104 BOUNDARY ROAD,ORBOST"
144.8871,-37.7911,Orygen Inpatient Unit,3011,03 8345 7550,"35 MAVIS STREET,FOOTSCRAY"
143.6646,-38.7539,Otway Health,3233,03 5237 8500,"75 MCLACHLAN STREET,APOLLO BAY"
145.0078355,-37.7468042,Panch Day Surgery Centre,3072,03 8560 0677,"84-90 HOTHAM STREET,PRESTON"
145.1701086,-38.1578075,Peninsula Private Hospital,3910,03 9788 3466,"525 MCCLELLAND DRIVE,FRANKSTON"
142.2825,-37.8772,Penshurst & District Memorial Hospital,3289,03 5552 3000,"146 COBB STREET,PENSHURST"
145.164,-37.8524,Peter James Centre,3131,13 0034 2255,"321-345 BURWOOD HIGHWAY,BURWOOD EAST"
144.9566333,-37.7999986,Peter MacCallum Cancer Centre,3000,03 8559 5000,"305 GRATTAN STREET,MELBOURNE"
141.6062,-38.3412,Portland District Health,3305,03 5521 0333,"141-151 BENTINCK STREET,PORTLAND"
145.0178298,-37.8702132,Precision Ascend Rehabilitation Centre,3161,03 8862 0000,"73 KOOYONG ROAD,CAULFIELD NORTH"
145.1783,-37.9722,Queen Elizabeth Centre,3174,03 9549 2777,"37-53 THOMAS STREET,NOBLE PARK"
143.8419,-37.5639,"Queen Elizabeth Centre, The",3350,03 5320 3700,"102 ASCOT STREET,BALLARAT CENTRAL"
144.9981,-37.7176,Reservoir Private Hospital Day Procedure Centre,3073,03 9460 8855,"73-75 PINE STREET,RESERVOIR"
145.2439,-37.8114,Ringwood Private Hospital,3135,03 8804 4000,"36 MT DANDENONG ROAD,RINGWOOD EAST"
145.2435164,-37.8112483,Ringwood Radiation Oncology Centre,3135,03 8870 3300,"36 MT DANDENONG ROAD,RINGWOOD EAST"
142.8808,-35.051,Robinvale District Health Services,3546,03 5035 1500,"37-39 PIONEER STREET,MANANGATANG"
142.782,-34.5845,"Robinvale District Health Services, Robinvale",3549,03 5051 8111,"128-132 LATJE ROAD,ROBINVALE"
144.6978,-36.3665,Rochester and Elmore District Health Service,3561,03 5484 4400,"1 PASCOE STREET,ROCHESTER"
144.8846,-38.3619,Rosebud Hospital,3940,03 5986 0666,"1527 POINT NEPEAN ROAD,CAPEL SOUND"
144.8836475,-38.3618387,Rosebud SurgiCentre,3940,03 5986 0666,"1537 POINT NEPEAN ROAD,CAPEL SOUND"
144.9489,-37.794,Royal Children's Hospital,3052,03 9345 5522,"50 FLEMINGTON ROAD,PARKVILLE"
144.9645,-37.7993,Royal Dental Hospital,3053,03 9341 1000,"720 SWANSTON STREET,CARLTON"
144.9559,-37.7992,Royal Melbourne Hospital,3050,03 9342 7000,"300 GRATTAN STREET,PARKVILLE"
144.9488,-37.7783,Royal Melbourne Hospital,3052,03 8387 2000,"34-54 POPLAR ROAD,PARKVILLE"
145.0238,-37.7893,Royal Talbot Rehabilitation Centre,3101,03 9490 7500,"1 YARRA BOULEVARD,KEW"
144.9761,-37.8088,Royal Victorian Eye and Ear Hospital,3002,03 9929 8666,"32 GISBORNE STREET,EAST MELBOURNE"
144.9551722,-37.799157,Royal Women's Hospital,3052,03 8345 2000,"20 FLEMINGTON ROAD,PARKVILLE"
142.3669,-35.7326,Rural Northwest Health,3396,03 5083 2000,"12 MITCHELL PLACE,HOPETOUN"
142.3821,-36.2528,Rural Northwest Health,3393,03 5396 1200,"18 DIMBOOLA ROAD,WARRACKNABEAL"
145.0185,-37.961,Sandringham & District Memorial Hospital,3191,03 9076 1000,"191-193 BLUFF ROAD,SANDRINGHAM"
145.1386,-37.0185,Seymour Health,3717,03 5793 6100,"1 BRETONNEUX STREET,SEYMOUR"
145.4042,-36.3631,Shepparton Hospital,3630,03 5832 2322,"2-48 GRAHAM STREET,SHEPPARTON"
145.4108,-36.3593,Shepparton Private Hospital,3630,03 5832 1200,"20 FITZGERALD STREET,SHEPPARTON"
145.1217,-37.9184,Sir John Monash Private Hospital,3168,03 9562 9400,"212-220 CLAYTON ROAD,MONASH"
144.968003,-37.8048122,Skin & Cancer Foundation Incorporated,3053,03 9623 9400,"80 DRUMMOND STREET,CARLTON"
145.1053,-37.8681,Skin Cancer Day Surgery,3147,03 9888 3590,"19 CLEVELAND ROAD,ASHWOOD"
145.1925,-37.9657,South Eastern Private Hospital,3174,03 9549 6555,"313-329 PRINCES HIGHWAY,NOBLE PARK"
146.2062,-38.6587,South Gippsland Hospital,3960,03 5683 9777,"83 STATION ROAD,FOSTER"
143.1379,-38.2371,South West Healthcare,3260,03 5593 7300,"9 ROBINSON STREET,CAMPERDOWN"
142.4728,-38.3804,South West Healthcare,3280,03 5563 1666,"25 RYOT STREET,WARRNAMBOOL"
145.132,-38.146,"Southern Eye Centre, Day Surgery & Laser Clinic",3199,03 9783 5245,"42-44 CRANBOURNE ROAD,FRANKSTON"
144.941,-37.8145,Specialist Surgicentre Docklands,3008,13 0065 4456,"22 RAKAIA WAY,DOCKLANDS"
144.3662,-38.1491,Specialist Surgicentre Geelong,3220,13 0065 4456,"200 MALOP STREET,GEELONG"
145.1496,-37.9495,Springvale Endoscopy Centre and Day Hospital,3171,03 9548 0600,"20 BALMORAL AVENUE,SPRINGVALE"
144.7794,-37.744,St Albans Endoscopy Centre,3021,03 9364 0033,"328-330 STATION ROAD,ST ALBANS"
145.0532,-37.8092,St George's Health Service,3101,03 98160444,"283 COTHAM ROAD,KEW"
143.8476,-37.5575,St John of God Ballarat Hospital,3350,03 5320 2111,"101 DRUMMOND STREET,BALLARAT"
144.2640013,-36.7620769,St John of God Bendigo Hospital,3550,03 5434 3434,"133-145 LILY STREET,BENDIGO"
145.3447,-38.0346,St John of God Berwick Hospital,3806,03 8784 5000,"75 KANGAN DRIVE, BERWICK"
